Time,ParameterName,ParameterValue
2023-01-01T15:00:00Z,WS_PT1H_MIN,3.6
2023-01-01T15:00:00Z,WD_PT1H_AVG,276
2023-01-01T15:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T15:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T15:00:00Z,PA_PT1H_AVG,998.7
2023-01-01T15:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T16:00:00Z,TA_PT1H_AVG,-2.8
2023-01-01T16:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAvXfiQhCxPK2m/YbDzAvsNYdn98hLnwVtFqpIoqc5rCe0
qi4cyZPG5VlhjV2Ycb/99Tcm0OcfMYfg1VHIcxGVHZ9Ezo0Lj8Wh5jNkj+MTTWuQ
iK6sF2mSEwl2IB/8U6nNurRbsGcx9P+cRWclEzBJhxylLjSMpPUyIlilyl8E6vj7
aOYGaeNqRyfVzoPNezJnd4B7jbwQem+"
2023-01-01T16:00:00Z,TA_PT1H_MIN,-3.2
2023-01-01T16:00:00Z,RH_PT1H_AVG,82
2023-01-01T16:00:00Z,WS_PT1H_AVG,4.7
2023-01-01T16:00:00Z,WS_PT1H_MAX,5.3
2023-01-01T16:00:00Z,WS_PT1H_MIN,4.2
2023-01-01T16:00:00Z,WD_PT1H_AVG,280
2023-01-01T16:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T16:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T16:00:00Z,PA_PT1H_AVG,999.4
2023-01-01T16:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T17:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/9HfwHppoTGwmURJqDec72TH1KwQrkawo1j1L6uFYMSjuw
3ojq40T6r3tkBWGFHzJzh9KxuXvbgmQUwQ0fc7wKgDp/5NBVEc1Je89mYDrYrBcx
peTPZ9paquV6iqLvLZUVzDFew2DmbXInYnZBRZJ7IBZuQxxUXVI3w7DiGCTa2MIR
g8lNLm+RYKO93pt1p5EKKz+h3NpzcNd"
2023-01-01T17:00:00Z,TA_PT1H_MAX,-2.9
2023-01-01T17:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAj/DUFI7aUOZ52TYyUNZmCJTN0cDN1dyEstO2bQRHsRSR
oWHa8wQ6XZsGxmA9k4/keoOyqz6XP24cKb+U6Eq8eKugBeJzUr6p4tRD1Lm6kVrT
MB+RI/OQqeuu2miCpvgLzjgDZ6auJwKoZ/hXNgRKvXFzE+Z57vOUjLQP9sIrQXFy
uH6ZCsf91UUGCpjfBvaWPfxsStti/qP"
2023-01-01T17:00:00Z,RH_PT1H_AVG,82
2023-01-01T17:00:00Z,WS_PT1H_AVG,4.7
2023-01-01T17:00:00Z,WS_PT1H_MAX,5.6
2023-01-01T17:00:00Z,WS_PT1H_MIN,3.9
2023-01-01T17:00:00Z,WD_PT1H_AVG,271
2023-01-01T17:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T17:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T17:00:00Z,PA_PT1H_AVG,999.9
2023-01-01T17:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T18:00:00Z,TA_PT1H_AVG,-3.5
2023-01-01T18:00:00Z,TA_PT1H_MAX,-3.3
2023-01-01T18:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//TFybJVAHTLu3pB9QvcI60yxKCnahXc96oOcmJ+iqYjKw
pA7mRaWdwAlW+Rm38HDolCJpyXOHDsT53w8smmt+Z+qnuJxUvD5t2EkOYy+omxqN
b09F4vp2+jCIIJIGR0LVfZr2K6xXTjhKZfmW+xfbX/6IBsPPnq9n7bkddUJx1u1I
vLzlScbrco9X20ORPrwPyvYDySMTc23"
2023-01-01T18:00:00Z,RH_PT1H_AVG,83
2023-01-01T18:00:00Z,WS_PT1H_AVG,4.9
2023-01-01T18:00:00Z,WS_PT1H_MAX,5.8
2023-01-01T18:00:00Z,WS_PT1H_MIN,4.1
2023-01-01T18:00:00Z,WD_PT1H_AVG,279
2023-01-01T18:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T18:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T18:00:00Z,PA_PT1H_AVG,1000.6
2023-01-01T18:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T19:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/9FU7gu1bCbP814R5gEFPVkKKcor/aKN+z9/lSf6gPLT/f
6NVTIy3BZ5Rt+Kgq7n3tuTBohvwRtsj0rIweN2PeegESYzyf4pPbTunpdSStS5et
dR/XrnhTiIVdaD2gNxK06q1g8O9VQhDmE1LfCXGMinmTyYq56YviWoUQ7F/Vu5wv
noc9WclJshjHUVnlKJXBz7OJQkdZYht"
2023-01-01T19:00:00Z,TA_PT1H_MAX,-3.2
2023-01-01T19:00:00Z,TA_PT1H_MIN,-3.8
2023-01-01T19:00:00Z,RH_PT1H_AVG,81
2023-01-01T19:00:00Z,WS_PT1H_AVG,5.3
2023-01-01T19:00:00Z,WS_PT1H_MAX,6.1
2023-01-01T19:00:00Z,WS_PT1H_MIN,4.5
2023-01-01T19:00:00Z,WD_PT1H_AVG,283
2023-01-01T19:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T19:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T19:00:00Z,PA_PT1H_AVG,1001.4
2023-01-01T19:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T20:00:00Z,TA_PT1H_AVG,-3.4
2023-01-01T20:00:00Z,TA_PT1H_MAX,-3.3
2023-01-01T20:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/9EJLuCMJpa3Y2YBsDLwIIoKFXQaklM9sW+Mfc9fUxWpg5
4DvabXWfjVVHoKGTkuR3elsmsYEbMqIt3UamKOU6pLpcji3uJ3MCPqraBs/zBGR6
0eWzFFYcgmRvZ1wjhWtE/MqFbLVT9OEzGv7AaPYn1PSN7ty4wfQbP8gr2e75w+eV
RazlRuhgArfo/NpGreGD/TQon+jtsx4"
2023-01-01T20:00:00Z,RH_PT1H_AVG,79
2023-01-01T20:00:00Z,WS_PT1H_AVG,6
2023-01-01T20:00:00Z,WS_PT1H_MAX,6.8
2023-01-01T20:00:00Z,WS_PT1H_MIN,5.3
2023-01-01T20:00:00Z,WD_PT1H_AVG,281
2023-01-01T20:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T20:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T20:00:00Z,PA_PT1H_AVG,1002.2
2023-01-01T20:00:00Z,WAWA_PT1H_RANK,NaN
